Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor A-101,Reactor,125.5,45.2,180.5
Pump B-205,Pump,89.3,12.8,65.2
Heat Exchanger C-310,Heat Exchanger,210.7,8.5,95.8
Compressor D-420,Compressor,67.2,95.3,145.6
Valve E-515,Valve,15.8,3.2,35.7
Reactor A-102,Reactor,156.8,52.1,195.3
Pump B-206,Pump,78.9,15.6,72.4
Heat Exchanger C-311,Heat Exchanger,198.4,9.1,88.9
Compressor D-421,Compressor,72.5,102.7,158.2
Valve E-516,Valve,18.3,4.1,42.1
Reactor A-103,Reactor,142.3,48.7,175.8
Pump B-207,Pump,95.6,14.2,68.9
Heat Exchanger C-312,Heat Exchanger,225.1,7.8,92.3
Compressor D-422,Compressor,63.8,88.9,138.7
Valve E-517,Valve,12.9,2.8,31.5
Reactor A-104,Reactor,168.9,55.3,205.7
Pump B-208,Pump,82.4,13.5,70.1
Heat Exchanger C-313,Heat Exchanger,205.6,8.9,90.4
Compressor D-423,Compressor,69.7,98.4,151.9
Valve E-518,Valve,20.1,3.7,38.9
